imgid,filename,caption,sentid
30258,8037906430.jpg,"Many hockey players are bunched up around the goal, the goalie is in a crouched position and one player wearing a red and white jersey appears to be celebrating.",151290
30258,8037906430.jpg,A professional hockey player is jumping above the ice with his hands in the air as the other players try to score on a goal as it's being defended.,151291
30258,8037906430.jpg,A spirited hockey game where the fans in the background are cheering enthusiastically.,151292
30258,8037906430.jpg,A hockey player is jumping in the air and there are cheering fans in the background.,151293
30258,8037906430.jpg,Hockey player jumps with joy after his hockey team scores a goal.,151294
29768,7656601.jpg,A man in a yellow raincoat stands on boat with two other men while seagulls fly overhead.,148840
29768,7656601.jpg,"3 men on a boat at sea, with multiple seagulls in the background.",148841
29768,7656601.jpg,The gentlemen are on the boat deck relaxing.,148842
29768,7656601.jpg,These fisherman are on a boat out to sea.,148843
29768,7656601.jpg,Several men are outside on a boat.,148844
2005,158857536.jpg,"A man with a guitar, in cowboy boots and underwear, is standing in a street next to a woman, with yellow taxicabs in the background.",10025
2005,158857536.jpg,The naked cowboy outside of the Bank of America is talking to a redheaded woman as cabs drive by.,10026
2005,158857536.jpg,"A man wearing only a cowboy hat, cowboy boots, and underwear talks to a woman on a city street.",10027
2005,158857536.jpg,"A professed ""Naked Cowboy"" protests outside of the Bank of America building.",10028
2005,158857536.jpg,"A man in cowboy boots, briefs and holding a guitar, holds a woman's arm.",10029
3230,2086534745.jpg,A yellow kayak is descending quickly down a white water rapid.,16150
3230,2086534745.jpg,A rafter in a yellow raft in a steamy white river.,16151
3230,2086534745.jpg,A man in a yellow boat paddling down rough waters.,16152
3230,2086534745.jpg,The yellow kayak is in the middle of the rapids.,16153
3230,2086534745.jpg,Kayacker riding rough current downstream.,16154
2991,2047471190.jpg,A woman wearing a pink hat nods off while sitting on a bench surrounded by pigeons.,14955
2991,2047471190.jpg,A woman sleeping on a park bench with pigeons behind her.,14956
2991,2047471190.jpg,A lady wearing a white hat sitting on bench sleeping,14957
2991,2047471190.jpg,A woman is sleeping while sitting on a park bench.,14958
2991,2047471190.jpg,A woman in a spotted shirt sleeping on a bench.,14959
12630,3315616181.jpg,A man in a green shirt is climbing an obstacle course.,63150
12630,3315616181.jpg,A man in a green shirt climbs an indoor climbing wall.,63151
12630,3315616181.jpg,A teenage boy climbs an indoor climbing wall.,63152
12630,3315616181.jpg,Someone climbs an indoor climbing wall.,63153
12630,3315616181.jpg,A teenager climbs a rock wall.,63154
29291,7286147430.jpg,"A girl with light brown hair, glasses, white tank top, black bra, and a lip ring is looking at her iPhone as she lies on a couch in a room with a white wall.",146455
29291,7286147430.jpg,A teenage girl with librarian glasses and a lip piercing is on her pink iPhone while sitting on a couch.,146456
29291,7286147430.jpg,"A young girl with long hair, glasses and a lip ring playing on her iPhone in a brightly lit room.",146457
29291,7286147430.jpg,A woman with glasses and a lip piercing is sitting down looking at her pink iPhone.,146458
29291,7286147430.jpg,A young person is engaged with their smartphone.,146459
5919,2458862292.jpg,"A man stands at the wheel of a classic american car, door and trunk open.",29595
5919,2458862292.jpg,The man in the blue is posing for a picture next to his car.,29596
5919,2458862292.jpg,Man in blue shirt stands outside the car.,29597
5919,2458862292.jpg,A african american stands by his car.,29598
5919,2458862292.jpg,A man stands next to a car.,29599
25799,524031846.jpg,A boy splashes in a pool with his arms out to catch something.,128995
25799,524031846.jpg,A boy in swimming trunks is splashing in a swimming pool.,128996
25799,524031846.jpg,A young boy jumping to catch something in a pool.,128997
25799,524031846.jpg,Boy reaches up while in pool.,128998
25799,524031846.jpg,A boy jumps into the pool.,128999
28368,6800805602.jpg,A scientist wears latex gloves while handling samples and scientific equipment behind a glass shield.,141840
28368,6800805602.jpg,A woman wearing glasses is working in a lab with test tubes and equipment under a glass protector.,141841
28368,6800805602.jpg,"Woman with glasses, plastic gloves, and a lab coat, puts drops in a test tube.",141842
28368,6800805602.jpg,Woman in white lab coat and rubber gloves fills vial with substance.,141843
28368,6800805602.jpg,A lady scientist is checking something with a tool under a screen.,141844
23482,4842561523.jpg,A man in a white t-shirt is crossing the sidewalk.,117410
23482,4842561523.jpg,A man in a white shirt walking down the sidewalk.,117411
23482,4842561523.jpg,"Man going into a shallow, dark passageway.",117412
23482,4842561523.jpg,The person in white T-shirt is walking.,117413
23482,4842561523.jpg,A man walks down a shady sidewalk.,117414
29937,7754829172.jpg,"A volleyball match, with players in primarily red uniforms, being played in front of a large crowd.",149685
29937,7754829172.jpg,A man in green is setting the ball during a pro volleyball game.,149686
29937,7754829172.jpg,A group of men plays volleyball at the Olympic games.,149687
29937,7754829172.jpg,A men's Olympic indoor volleyball game,149688
29937,7754829172.jpg,Players in a basketball game.,149689
10781,3091403322.jpg,A man in a white shirt and black hat is sitting and playing the drums.,53905
10781,3091403322.jpg,"A man in white T-shirt, hat and jeans playing drums.",53906
10781,3091403322.jpg,A man wearing a white shirt is playing the drums.,53907
10781,3091403322.jpg,A man with a camouflage hat on playing drums.,53908
10781,3091403322.jpg,A man is playing music with the drum set.,53909
8791,2835793460.jpg,"A young women, in a black shirt, is holding a bike, while a young boy is holding a skateboard.",43955
8791,2835793460.jpg,A lady putting her bike on the sidewalk as a guy carries his skateboard onto the same sidewalk.,43956
8791,2835793460.jpg,A skateboarder is talking to a young girl who is trying to pull her bike away from him.,43957
8791,2835793460.jpg,A young woman holds her friend's bicycle for him while he pulls out his skateboard.,43958
8791,2835793460.jpg,A woman holding a bicycle and a boy holding a skateboard near a sidewalk.,43959
21235,4667566271.jpg,"A balding dark-haired man in a brown trench coat is chipping away at a stone block, surrounded by carved statues.",106175
21235,4667566271.jpg,A man is carving a strangely-shaped figure out of stone using a long-rodded tool.,106176
21235,4667566271.jpg,A man in a brown jacket is carving stone with a hammer and chisel.,106177
21235,4667566271.jpg,A man is using a hammer and chisel to make sculptures.,106178
21235,4667566271.jpg,An older gentleman carving granite with a chisel.,106179
7418,264859622.jpg,"A man walking a tightrope, low to the ground, between two trees.",37090
7418,264859622.jpg,A young man is walking across a suspended rope at night.,37091
7418,264859622.jpg,A young man walks a tightrope tied to a tree at night.,37092
7418,264859622.jpg,A man walks on a low tightrope under a tree.,37093
7418,264859622.jpg,A man walks across the tightrope.,37094
21265,466956675.jpg,A person climbing a large mountainside.,106325
21265,466956675.jpg,A person climbs up a rock face.,106326
21265,466956675.jpg,A man climbing a sheer rock wall,106327
21265,466956675.jpg,A climber ascending a mountain,106328
21265,466956675.jpg,A rock climber,106329
1273,1389651420.jpg,A little boy in a red shirt is making a face into the camera while waiting at a go-cart track.,6365
1273,1389651420.jpg,A little boy grinning with a go-cart in the background.,6366
1273,1389651420.jpg,The small boy is excited he will be riding a go-cart.,6367
1273,1389651420.jpg,A boy stands beside a railing at a go kart track.,6368
1273,1389651420.jpg,A little boy is standing in line for go-karts.,6369
20374,4575380951.jpg,A lady in a convent rolling dough in the kitchen.,101870
20374,4575380951.jpg,An old woman prepares food with a rolling pin.,101871
20374,4575380951.jpg,An older person in a tan outfit is cooking.,101872
20374,4575380951.jpg,A woman sitting at a table preparing food.,101873
20374,4575380951.jpg,A woman in a tan outfit is preparing food.,101874
23884,4872490297.jpg,"Two children, one male the other female in a room, the female is getting into a chair.",119420
23884,4872490297.jpg,Children are playing in a classroom setting : one of them is climbing onto a chair.,119421
23884,4872490297.jpg,A girl in a pink sweatshirt goes to sit at a table while a boy watches.,119422
23884,4872490297.jpg,Two young children are in a room dressed in blue pants.,119423
23884,4872490297.jpg,A girl in a pink shirt is climbing onto a wooden chair.,119424
5545,2416193212.jpg,A woman wearing a backpack walks in front of a purple wall.,27725
5545,2416193212.jpg,A woman with a backpack walking past a purple wall.,27726
5545,2416193212.jpg,A woman walking along side a purple building.,27727
5545,2416193212.jpg,A woman walking beside a purple wall.,27728
5545,2416193212.jpg,A woman walking down the block.,27729
15079,3601533527.jpg,A man is partially silhouetted and leaning against a dark object.,75395
15079,3601533527.jpg,The man is standing outside next to a wooden phone pole.,75396
15079,3601533527.jpg,A man wearing a baseball cap leaning against a post.,75397
15079,3601533527.jpg,The man is leaning against a tree.,75398
15079,3601533527.jpg,A man leaning on a pole.,75399
22379,4756001265.jpg,Two people walking down a checkered sidewalk in front of a red and yellow cone.,111895
22379,4756001265.jpg,Two men walking back and forth through a japanese or chinese shopping center.,111896
22379,4756001265.jpg,A few men and kids walking down an oriental side street.,111897
22379,4756001265.jpg,Chinese or Japanese shopping downtown in the streets.,111898
22379,4756001265.jpg,A kid is playing in the middle of a shopping plaza.,111899
13768,3446762868.jpg,The skateboarder is leaping in the air in front of the telegraph pole.,68840
13768,3446762868.jpg,Skateboarder in jeans and t-shirt performing jump.,68841
13768,3446762868.jpg,A skateboarder in the air in front of wires.,68842
13768,3446762868.jpg,A skateboarder does a trick in midair.,68843
13768,3446762868.jpg,A skateboarder jumps into the air.,68844
28182,663377207.jpg,A black man wearing a safety vest and hard hat is dumpster diving and appears to be holding a piece of electrical conduit.,140910
28182,663377207.jpg,A man in a hard hat is working near a dumpster.,140911
28182,663377207.jpg,A construction worker works near a bulldozer.,140912
28182,663377207.jpg,A construction worker posing for the camera.,140913
28182,663377207.jpg,The man with white hat is working so hard.,140914
25344,5045035726.jpg,A man is talking into a mic while a woman looks at a book beside him and a kid watches them.,126720
25344,5045035726.jpg,"Man with black hat, holding microphone next to girl with red-hair looking at a book.",126721
25344,5045035726.jpg,A kid with a green mohawk looks on as a man and woman talk into a microphone.,126722
25344,5045035726.jpg,A man talking into a microphone with a woman standing next to him.,126723
25344,5045035726.jpg,Man with a microphone interviewing a young woman,126724
30158,7954265762.jpg,A woman in a red dress is singing on a stage as a man in a suit plays a saxaphone.,150790
30158,7954265762.jpg,A woman in a red dress is signing while a man in a suit is playing the saxophone.,150791
30158,7954265762.jpg,A female singer and a male saxophonist are performing on stage.,150792
30158,7954265762.jpg,Asian singer performs live jazz music in a nightclub.,150793
30158,7954265762.jpg,A quartet is performing inside.,150794
17845,4117842141.jpg,A group of people are standing around a dining table with food on it.,89225
17845,4117842141.jpg,A man and a woman cut a cake together while other people look on.,89226
17845,4117842141.jpg,Formally dressed family watching a couple cut a cake.,89227
17845,4117842141.jpg,People at a formal dinner party celebration.,89228
17845,4117842141.jpg,A couple cutting the cake with an audience.,89229
13021,3357209547.jpg,Two warmly clothed people are walking by a very old wooden church.,65105
13021,3357209547.jpg,Two people are near a wooden building wearing backpacks.,65106
13021,3357209547.jpg,Two people are walking towards a wooded building.,65107
13021,3357209547.jpg,Two people are walking towards a house.,65108
13021,3357209547.jpg,Two people walking by an old house.,65109
19067,4433720033.jpg,"A man in a t-shirt and jeans smoking a cigarette at a sidewalk cafe, while others wait to get inside.",95335
19067,4433720033.jpg,A man in blue jeans and a black shirts sits outside among a group of metal chairs and tables.,95336
19067,4433720033.jpg,A man in a black shirt sits outside at one of many silver chairs and tables.,95337
19067,4433720033.jpg,Male sitting in a chair at a outdoor cafe smoking a cigarette.,95338
19067,4433720033.jpg,"An overweight man sits outside a bistro, smoking a cigarette.",95339
15568,3662871327.jpg,Young man with upturned hair posing with young man with sunglasses and woman with glasses,77840
15568,3662871327.jpg,Two men and a girl pose with funny faces in front of a wood panel wall.,77841
15568,3662871327.jpg,Three people posing for a picture with one man giving a kissing face.,77842
15568,3662871327.jpg,Three friends making faces for the camera.,77843
15568,3662871327.jpg,Three young adults pose for the camera.,77844
17590,405970010.jpg,A man in snow clothes and a red helmet is on top of a mountain with other mountains in the background.,87950
17590,405970010.jpg,A man wearing a huge backpack and blue jacket with many distant mountains in the background,87951
17590,405970010.jpg,A hiker on a snow-covered mountain overlooking a valley.,87952
17590,405970010.jpg,A smiling hiker poses on top of a snow-covered mountain,87953
17590,405970010.jpg,A man carrying a backpack stands on a snowy area.,87954
9375,2908391223.jpg,"A couple sitting at a reception table, the man is laughing as he motions back and the woman is laughing motioning forward.",46875
9375,2908391223.jpg,A group of well dressed people sitting around a table with champagne glasses laughing.,46876
9375,2908391223.jpg,A newly married couple laughs during their reception.,46877
9375,2908391223.jpg,A group of formally dressed people are laughing.,46878
9375,2908391223.jpg,A wedding party laughs during the reception.,46879
1280,1391386453.jpg,A young man in uniform is standing with his back to a museum case that has a classical bust on the top shelf.,6400
1280,1391386453.jpg,A man in a military style uniform is standing with his arms behind his back in a public corridor.,6401
1280,1391386453.jpg,The security guard is guarding the museum with the black and white checked floor.,6402
1280,1391386453.jpg,The soldier is standing tall as he observes the passing people.,6403
1280,1391386453.jpg,A soldier is at his post inside of a museum.,6404
30535,82679822.jpg,"A caucasian woman in a blue top and black slacks looks off to the side of the camera with a drink in one hand and a amused look upon her face, while a man sits next to her, looking unamused, drink in one hand, straw in the other.",152675
30535,82679822.jpg,Man and a woman sitting in black chairs drinking.,152676
30535,82679822.jpg,A man and women sip drinks in two leather chairs.,152677
30535,82679822.jpg,Two people having drinks in a bar or restaurant.,152678
30535,82679822.jpg,Two friends catch up over a couple of drinks.,152679
978,131624221.jpg,A man in jeans and sandals sits outside near trees and a goose and plays a string instrument.,4890
978,131624221.jpg,"A man sits in the sunlight, on a bench, playing a banjo while a Canadian Goose looks on.",4891
978,131624221.jpg,The goose appears to be listening to the banjo player that is sitting on the park bench.,4892
978,131624221.jpg,Guy playing banjo in the park as a duck enjoys the music.,4893
978,131624221.jpg,A man is sitting on a bench playing his guitar.,4894
12733,3328296271.jpg,A group of volunteers help build a house on behalf of Habitat for Humanity.,63665
12733,3328296271.jpg,A group of people in jeans and white shirts are bent over a piece of wood.,63666
12733,3328296271.jpg,Children are working on a construction project to build a deck.,63667
12733,3328296271.jpg,Workers with white t-shirts measure a wooden board.,63668
12733,3328296271.jpg,People repairing a home or building.,63669
16278,3755475040.jpg,Here is a picture of a baby boy vacuuming his house and carpet.,81390
16278,3755475040.jpg,A little boy in his underwear and shoes is holding a vacuum.,81391
16278,3755475040.jpg,A young child in only his underwear is vacuuming.,81392
16278,3755475040.jpg,A little boy in his underwear pushing a vacuum.,81393
16278,3755475040.jpg,A boy is vacuuming a rug.,81394
11141,3135980417.jpg,"Two women in shadow, sit by a sunny window, talking to one another.",55705
11141,3135980417.jpg,Two women are inside talking to one another.,55706
11141,3135980417.jpg,Two men sitting and talking on a couch.,55707
11141,3135980417.jpg,Two women are having a conversation.,55708
11141,3135980417.jpg,Two young women having a conversation,55709
13295,339056745.jpg,"A group of people in a beach standing in sand holding a net, while another group of people stand in the sea holding the rest of the net.",66475
13295,339056745.jpg,Fishermen at the sandy beach side by side throwing the net to the ocean.,66476
13295,339056745.jpg,A group of men pulling a fishing net onto the beach.,66477
13295,339056745.jpg,Several people casting a net out into the ocean.,66478
13295,339056745.jpg,Fishermen casting a large net out to sea.,66479
14823,3569416047.jpg,A person wearing a black shirt is riding a bike in front of a red wall with a flower on it.,74115
14823,3569416047.jpg,A person is riding a bicycle with a red wall in the background.,74116
14823,3569416047.jpg,A man riding a bike in front of a large red wall.,74117
14823,3569416047.jpg,A female woman rides a bicycle along a long wall.,74118
