imgid,filename,caption,sentid
4709,2308029439.jpg,There is a woman in a red coat with black pants and a black bag sitting in a place with many big cement blocks.,23545
4709,2308029439.jpg,A dark-haired woman in a bright red coat is sitting on a raised concrete rectangle.,23546
4709,2308029439.jpg,Girl in red jacket ponders while sitting in an art museum with cubes on the floor.,23547
4709,2308029439.jpg,A woman with a black purse and a red coat is sitting on a pillar of concrete.,23548
4709,2308029439.jpg,A woman in a red jacket is sitting on a cement block.,23549
19955,453275575.jpg,This young man smiles as he discovers a horseshoe crab in the sand.,99775
19955,453275575.jpg,Man smiles next to a horseshoe crab on a beach.,99776
19955,453275575.jpg,A man smiles as he sits with a fish on sand.,99777
19955,453275575.jpg,A middle-age man posing with a crab,99778
19955,453275575.jpg,Guy on beach with weird creature.,99779
29712,761397426.jpg,A male has an angry look has he hold a container in front of a female.,148560
29712,761397426.jpg,One man and a woman sitting on a table in a restaurant eating dinner,148561
29712,761397426.jpg,A man wearing a shirt and tie is holding a bottle of alcohol.,148562
29712,761397426.jpg,A man at a restaurant table holds an empty bottle.,148563
29712,761397426.jpg,A jokingly angry man holding alcohol,148564
28133,65845718.jpg,This is a woman in a swimming pool with her hand on the edge of the pool and appears to be wearing a dark blue bathing suit and looking off to her right.,140665
28133,65845718.jpg,A woman in a black swimming suit is holding onto the edge of a in ground pool.,140666
28133,65845718.jpg,A lady is in a swimming pool wearing a dark colored bathing suite.,140667
28133,65845718.jpg,A woman in a bathing suit hangs on the side of a swimming pool.,140668
28133,65845718.jpg,A girl in a swimming pool holding on to the side.,140669
26773,5716554915.jpg,"A woman in a black outfit lies face first on a yoga mat; several paintings are hanged on the wall, and the sun shines through a large window near her.",133865
26773,5716554915.jpg,Woman lying face down on a white mat in a round with a stone floor as sunlight streams in the window onto the driftwood in the background.,133866
26773,5716554915.jpg,Woman lying face down on a matt in a yoga pose in her art studio with natural light from a nearby window shining in.,133867
26773,5716554915.jpg,A woman lays face down on her exercise mat next to a gazing pool.,133868
26773,5716554915.jpg,A woman in black laying face down on a mat in a tranquil room.,133869
2237,170947689.jpg,Woman sitting in the grass under a tree overlooking a field of grass and holding a large pad of white paper.,11185
2237,170947689.jpg,"A female wearing a shawl around her shoulders, sits upon a tree in a green meadow and reads.",11186
2237,170947689.jpg,It is relaxing to sit under a tree on a nice day and sketch your surroundings.,11187
2237,170947689.jpg,A person reading something is sitting under the tree.,11188
2237,170947689.jpg,Woman reading under a tree.,11189
8911,2848571082.jpg,A black and brown dog jumps in the air to catch a soccer ball.,44555
8911,2848571082.jpg,The black and brown dog jumps in the air to catch the ball.,44556
8911,2848571082.jpg,A black dog jumps to catch a ball in a yard.,44557
8911,2848571082.jpg,Dog jumping to catch a soccer ball.,44558
8911,2848571082.jpg,Black dog jumps for white ball.,44559
4147,2231193384.jpg,"A Jewish man and a group of Jewish children, fill their plates from a buffet set out in a park.",20735
4147,2231193384.jpg,"A Jewish man wearing glasses, button up long blue shirt getting desserts on the table",20736
4147,2231193384.jpg,Several people selecting food and desert items from an outdoor buffet.,20737
4147,2231193384.jpg,People are picking out what food to eat at an outdoors event.,20738
4147,2231193384.jpg,A man wearing a yarmulke standing at a table.,20739
17363,4003587342.jpg,A man is carrying a baby in a pouch to his chest is helping a small boy walk across a log by holding his hand.,86815
17363,4003587342.jpg,An adult with an infant strapped to chest walks in the forest with another child in tow,86816
